Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
2012-10-22 00:00:00,Monday,,2012-10-23 00:00:00,Tuesday,,2012-10-24 00:00:00,Wednesday,,2012-10-25 00:00:00,Thursday,,2012-10-26 00:00:00,Friday,,2012-10-27 00:00:00,Saturday,,,,2025-04-21 00:00:00,Monday,,2025-04-22 00:00:00,Tuesday,,2025-04-23 00:00:00,Wednesday,,2025-04-24 00:00:00,Thursday,,2025-04-25 00:00:00,Friday,,2025-04-26 00:00:00,Saturday,,2025-04-27 00:00:00,Sunday ,,,,,,,,,
上線日,線別,製令單號,工單數量,工時,,製令單號,,品號,品名,上線日,,BIOS,File name,工單數量,,組裝,測試,領料單,,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,製程,生產數量,工時,實際生產,總生產量,總生產工時,,,,,,
,,,,,,,,,,,,,,,,,,,,加班工時 ,2.75,2.3333333333333335,2.75,3.1666666666666665,3.1666666666666665,1.5,3.9166666666666665,2.3333333333333335,-3.0833333333333335,0,-1.5555555555555556,3.1666666666666665,3.1666666666666665,3.1666666666666665,1.5,-7.666666666666667,3.1666666666666665,4.333333333333333,-7.666666666666667,0.6666666666666666,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,正常產能利用率(週),1.4565217391304346,,,,,,,,,正常產能利用率(週),,1.358695652173913,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加班產能利用率(週),1.046875,,,,,,,,,加班產能利用率(週),,0.9765625,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,人數: 24人,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,DATE,44606,41198,44607,44608,41200,44609,44610,41203,44611,44612,41206,44613,44614,41209,44615,44616,,44617,44618,,44619,,,,,,,
,,,,,,,,,,,,,,,,,,,,,M,,T,W,,T,F,,Sat,Sun,,M,T,,W,T,,F,Sat,,Sun,,,,,,,
,,,,,,,,,,,,,,,,,,,,生產數量,1359,15910.289999999999,1657,1614,14257.1,1619,1336,15265.609999999999,508,0,,1025,1838,,1633,1328,,1326,370,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,生產工時,15910.289999999999,0,14257.1,15265.609999999999,0,15358,15490.3,0,7418,0,,13989,14616.79,,13851,13422.5,,14389.220000000001,5404,,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,產能利用率,1.2748629807692307,0,1.1423958333333333,1.2232059294871793,0,1.2306089743589743,1.2412099358974358,0,0.5943910256410256,0,,1.1209134615384615,1.1712171474358974,,1.1098557692307693,1.0755208333333333,,1.152982371794872,0.43301282051282053,,0,,,,,,,
