第23週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,
2025-06-07 00:00:00,投過,E,93E125060283,93-P1400-220E,"SP2-10WP-EHL-J6412,8GB,12V, w/IO & cover",2025-06-11 00:00:00,2025-06-06 00:00:00,4,4,18,8,17,,,,32,68,93-P1400-22,
2025-06-07 00:00:00,投過,A,93E125060269,93-F0093-107E,Zoetis Vetscan HUB-AUS,2025-06-12 00:00:00,2025-06-02 00:00:00,240,39,21,11,25.6,,,,429,998.4000000000001,93-F0093-10,
2025-06-07 00:00:00,投過,A,93N125060017,93-41045-E550,Dell Embedded Gateway EGW-5200-0MKWWT,2025-06-12 00:00:00,2025-06-05 00:00:00,53,53,30,20.3,28.8,,,,1075.9,1526.4,93-41045-E5,
2025-06-07 00:00:00,投過,E,93E125050113,93-P1600-600E,"SP2-15WP-MTL-125H,8GB,128GB,12V,IO",2025-06-11 00:00:00,2025-05-12 00:00:00,2,1,18,7.5,15,,,1+N,7.5,15,93-P1600-60,
2025-06-07 00:00:00,投過,A,93E125050149,93-D2103-110E,MLC-S 215 for Bechtle,2025-06-13 00:00:00,2025-06-06 00:00:00,24,24,21,26,50,,,,624,1200,93-D2103-11,
2025-06-07 00:00:00,投過,A,93E125060037,93-D1300-113E,MLC-133-AL EIZO,2025-06-13 00:00:00,2025-06-06 00:00:00,16,16,24,15,38,,,,240,608,93-D1300-11,
2025-06-07 00:00:00,投過,A,93E125050333,IPC-003N5-R001,RK609W-9E5-E43_IR001,2025-06-12 00:00:00,2025-06-06 00:00:00,1,1,21,4,54,,,,4,54,IPC-003N5-R,
,投過,E,93E125070082,93-P6000-640E,CTM-15W-M-PM,2025-06-25 00:00:00,2025-05-14 00:00:00,2,1,,5,12.5,無生產紀錄++,,,5,12.5,93-P6000-64,
2025-06-07 00:00:00,投過,A,93E125060033,TPC-41045-0420,TPC-41045-0420(MVP-5102),2025-06-16 00:00:00,2025-06-06 00:00:00,20,20,18,0,30,,,,0,600,TPC-41045-0,
2025-06-07 00:00:00,投過,A,93E125030093,IPC-101N5-T006,RK410CW-13E2-E43_IT006,2025-06-13 00:00:00,2025-06-06 00:00:00,2,2,21,4,54,,,,8,108,IPC-101N5-T,
2025-06-07 00:00:00,,A,,,,,,,,,,,,,,0,0,,
6/7  (六) 加工4 主線14.5  (11840)  測試支援1人,,,,,,,,,預計生產,,,,,10777.7,當日總工時,3011.4,7766.3,,
,,,,,,,,,265,,,,,,日班當日工時,,0,,
,,,,,,,,,,,,,,,晚班當日工時,,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,
2025-06-08 00:00:00,,A,,,,,,,,,,,,,,0,0,,
2025-06-08 00:00:00,,B,,,,,,,,,,,,,,0,0,,
2025-06-08 00:00:00,,B,,,,,,,,,,,,,,0,0,,
2025-06-08 00:00:00,,B,,,,,,,,,,,,,,0,0,,
6/8 (日) ,,,,,,,,,預計生產,,,,,0,當日總工時,0,0,,
,,,,,,,,,0,,,,,,日班當日工時,,,,
,,,,,,,,,,,,,,,晚班當日工時,,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,,
