第16週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,換線,線外,組裝,無塵室製程,燒機,備註,線外工時 ,生產工時(min),,,
2025-04-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-17 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
4/17 (四)  加工3 主線12  (6900)  返菲1人 支援DIP 2人,,,,,,,,,,273,,,,9613.75,當日總工時,1446.6,7894.15,,15.021484375,
,,,,,,,,,,,,,,,IPC,,,,,
,,,,,,,,,預計生產,,,,,,IDS,,,,,
,,,,,,,,,292,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,投過,A,93E125030273,93-41055-600E,MXE-232/M8G,2025-04-21 00:00:00,2025-04-16 00:00:00,5,5,21,5,20,,,,25,100,93-41055-60,,4/17延到4/17上線
2025-04-18 00:00:00,投過,E,93R125040093,93-F0130-000E,GM-270/Everi,2025-04-21 00:00:00,,2,2,18,,30,,,,0,60,93-F0130-00,,
2025-04-18 00:00:00,投過,E,93R125040094,93-F0130-000E,GM-270/Everi,2025-04-21 00:00:00,,3,3,18,,30,,,,0,90,93-F0130-00,,
2025-04-18 00:00:00,投過,A,93N125050113,93-70428-1030,PXES-2590/CN,2025-05-19 00:00:00,2025-04-17 00:00:00,20,20,21,35,40,,,,700,800,93-70428-10,,
2025-04-18 00:00:00,投過,A,93N125040008,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-05-30 00:00:00,2025-04-15 00:00:00,250,50,18,0,32.95,,,,0,1647.5000000000002,93-F0114-01,,
2025-04-18 00:00:00,投過,A,93N124100636,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-05-14 00:00:00,00:00:00,308,50,18,0,32.95,,,,0,1647.5000000000002,93-F0114-01,,
2025-04-18 00:00:00,投過,A,93N125050092,93-F0089-5310,"EMP-510-6305E,32GB,SSD 128GB,fTPM,CT",2025-04-23 00:00:00,2025-04-17 00:00:00,6,6,18,0,28,,,,0,168,93-F0089-53,,
2025-04-18 00:00:00,投過,E,93N125040480,93-P2100-2A10,STC2-10WP-E3950-AL,2025-04-22 00:00:00,2025-04-17 00:00:00,1,1,27,6,12.5,,,,6,12.5,93-P2100-2A,,
2025-04-18 00:00:00,投過,E,93N125040125,93-F0120-0010,GM-070/AGS,2025-04-28 00:00:00,2025-04-07 00:00:00,396,46,,,23,無塵室(TP貼合),0,,0,1058,93-F0120-00,,
2025-04-18 00:00:00,投過,E,93E125030128,93-F0116-100E,GM-270SG/KGI,2025-04-30 00:00:00,2025-03-20 00:00:00,210,50,18,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-04-18 00:00:00,投過,A,93N125040064,93-SH201-1020,Image System PC Sku8 11514001,2025-04-24 00:00:00,2025-04-17 00:00:00,40,40,27,27.6,,,,,1104,0,93-SH201-10,,
2025-04-18 00:00:00,投過,A,93E125040273,93-41053-0A1E,MVP-6229RF/M128G/MS2T/S4T/W11P/230W/HAL,2025-04-23 00:00:00,2025-04-17 00:00:00,40,40,24,8,36,,,4/23產出 重要訂單,320,1440,93-41053-0A,,
2025-04-18 00:00:00,投過,A,RMA125040001,AG-M9010-66101,M9010-66101,2025-04-22 00:00:00,,1,1,,,30,,,,0,30,AG-M9010-66,,
2025-04-18 00:00:00,投過,A,RMA125040007,AG-M9046-66101,M9046-66101,2025-04-22 00:00:00,,1,1,,,30,,,,0,30,AG-M9046-66,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-18 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
4/18  (五) 加工3 主線12  (6900)  返菲1人 支援DIP 2人,,,,,,,,,,228,,,,10566.5,當日總工時,3255,7083.5,,16.51015625,
,,,,,,,,,,144,,,,8523.5,IPC,3224,5155.5,,,
,,,,,,,,,預計生產,84,,,,2043.0000000000002,IDS,31,1928.0000000000002,,,
,,,,,,,,,607,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-19 00:00:00,投過,A,93N125040544,93-45103-0430-10,DLAP-211-Orin NX 16GB,2025-05-02 00:00:00,2025-04-18 00:00:00,10,1,21,5,20,,,1+N,5,20,93-45103-04,,
2025-04-19 00:00:00,投過,A,93E125040313,93-D2302-230E,MLC-M311,2025-05-06 00:00:00,2025-04-13 00:00:00,1,1,21,4.9,27.6,,,1+N,4.9,27.6,93-D2302-23,,
2025-04-19 00:00:00,投過,E,93E125030128,93-F0116-100E,GM-270SG/KGI,2025-04-30 00:00:00,2025-03-20 00:00:00,210,50,,,30,TP-ASSY,,,0,1500,93-F0116-10,,
2025-04-19 00:00:00,投過,E,93E125030128,93-F0116-100E,GM-270SG/KGI,2025-04-30 00:00:00,2025-03-20 00:00:00,210,50,18,22,,TP-ASSY,,,1100,0,93-F0116-10,,
2025-04-19 00:00:00,投過,A,93N124100636,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-05-14 00:00:00,00:00:00,308,100,18,0,32.95,,,,0,3295.0000000000005,93-F0114-01,,
2025-04-19 00:00:00,投過,A,93N125040064,93-SH201-1020,Image System PC Sku8 11514001,2025-04-24 00:00:00,2025-04-17 00:00:00,40,40,,,35.5,,,,0,1420,93-SH201-10,,
2025-04-19 00:00:00,投過,E,93N125040075,93-P1100-2C10,"SP2-10WP-AL3950, 4GB, 64GB, 9-36V, IO",2025-04-23 00:00:00,2025-04-17 00:00:00,28,28,27,8,17,,,,224,476,93-P1100-2C,,
2025-04-19 00:00:00,投過,A,93N125020447,93-F0023-0010,STR-TSPI7-070D,2025-04-29 00:00:00,2025-04-18 00:00:00,68,30,18,0,30,,,,0,900,93-F0023-00,,
2025-04-19 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-19 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
4/19  (六) 加工3 主線12  (6900)  返菲1人 支援DIP 2人,,,,,,,,,預計生產,648,,,,9620.5,當日總工時,1333.9,7638.6,,,
,,,,,,,,,1085,,,,,,日班當日工時,,0,,,
,,,,,,,,,,,,,,,晚班當日工時,,,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),,,
2025-04-20 00:00:00,,A,,,,,,,,,,,,,,0,0,,,
2025-04-20 00:00:00,,B,,,,,,,,,,,,,,0,0,,,
2025-04-20 00:00:00,,B,,,,,,,,,,,,,,0,0,,,
2025-04-20 00:00:00,,B,,,,,,,,,,,,,,0,0,,,
4/20 (日) ,,,,,,,,,預計生產,,,,,0,當日總工時,0,0,,,
,,,,,,,,,0,,,,,,日班當日工時,,,,,
,,,,,,,,,,,,,,,晚班當日工時,,,,,
,,,,,,,,,,,,,,,NOT ENOUGH,,,,,
