第4週系統 生 產 計 畫,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2025-01-22 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,25,,,34,,,,0,850,93-P8000-H5
2025-01-22 00:00:00,,A,93E124120417,TPC-45200-0110,TPC-45200-0110(DLAP-3100),2025-02-06 00:00:00,2025-01-21 00:00:00,5,5,18,0,30,,,,0,150,TPC-45200-0
2025-01-22 00:00:00,,A,93N125010456,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-04 00:00:00,2025-01-21 00:00:00,190,190,18,0,32.95,,,,0,6260.500000000001,93-F0114-01
1/22 (三) 加工4 主線15  (8740)  測試支援2人,,,,,,,,,,279,,,,10755.400000000001,當日總工時,1800,8676.400000000001,
,,,,,,,,,,234,,,,9311.400000000001,IPC,1260,7817.4000000000015,
,,,,,,,,,預計生產,45,,,,1444,IDS,540,859,
,,,,,,,,,326,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
,,A,93N125010245,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-18 00:00:00,10,2,,,30,,,拆退板卡,0,60,AG-M9019A-C
,,A,93N125010246,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-18 00:00:00,10,2,,,30,,,拆退板卡,0,60,AG-M9019A-C
,,A,93N125020355,AG-M9019A-CFG001A5,M9019A_A5,2025-02-13 00:00:00,2025-01-17 00:00:00,9,3,,,30,,,拆退板卡,0,90,AG-M9019A-C
,,A,93N125010035,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-18 00:00:00,10,2,,,30,,,拆退板卡,0,60,AG-M9019A-C
,,A,93N124080214,AG-M9019A-CFG001A5,M9019A_A5,2025-02-27 00:00:00,2024-12-19 00:00:00,35,9,,,30,,,拆退板卡,0,270,AG-M9019A-C
2025-01-23 00:00:00,未投過,A,93E125030057,93-41055-030E,MXE-231/M8G/256G/Win10,2025-02-04 00:00:00,2025-01-21 00:00:00,18,18,18,,14.5,,,PM告知不須1+N,0,261,93-41055-03
2025-01-23 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,10,27,13.5,,,,,135,0,93-P8000-H5
2025-01-23 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,25,,,34,,,,0,850,93-P8000-H5
2025-01-23 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,20,27,13.5,34,,,,270,680,93-P8000-H5
2025-01-23 00:00:00,,A,93N125010459,AG-M9046-60110,M9046-60110,2025-02-04 00:00:00,2025-01-20 00:00:00,10,10,36,76,88,,,,760,880,AG-M9046-60
2025-01-23 00:00:00,投過,D,93R125010095,93-99B00-913E,I-AADP-128,2025-02-05 00:00:00,,1,1,,,5,,,,0,5,93-99B00-91
2025-01-23 00:00:00,,A,93N125010457,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-07 00:00:00,2025-01-21 00:00:00,180,180,18,0,32.95,,,,0,5931.000000000001,93-F0114-01
2025-01-23 00:00:00,投過,A,93N124100633,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-05 00:00:00,2025-01-09 00:00:00,90,2,18,0,32.95,,,5C-56002-1010不良 1/20到貨,0,65.9,93-F0114-01
2025-01-23 00:00:00,,D,93E124120398,TPC-41057-0010,TPC-41057-0010 (MXC-3301),2025-02-13 00:00:00,2025-01-22 00:00:00,1,1,18,0,30,,,,0,30,TPC-41057-0
2025-01-23 00:00:00,,E,,,,,,,,110,,,,,GM-270 LVDS Sorting,0,0,
1/23 (四)    加工4 主線15  (8740)  測試支援2人,,,,,,,,,,272,,,,10679.9,當日總工時,1165,9242.9,
,,,,,,,,,,,,,,,IPC,,,
,,,,,,,,,預計生產,,,,,,IDS,,,
,,,,,,,,,285,,,,,,NOT ENOUGH,,,
生產日期,投產紀錄,線別,製令單號,品號,品名,完工日,料齊日,工單數量,預計生產,,線外,組裝,燒機,實際生產,備註,線外工時 ,生產工時(min),
2025-01-24 00:00:00,,D,,,,,,,,,,,,,,0,0,
2025-01-24 00:00:00,,A,,,,,,,,,,,,,,0,0,
2025-01-24 00:00:00,,D,93E124120355,APC-NT078-0010,APC-NT078-0000,2025-02-04 00:00:00,00:00:00,1,1,21,4,54,,,,4,54,APC-NT078-0
2025-01-24 00:00:00,投過,A,93N125010122,93-D1207-1010,WM200/US,2025-02-04 00:00:00,2025-01-15 00:00:00,30,30,,,36,,,,0,1080,93-D1207-10
2025-01-24 00:00:00,,A,93N125010458,93-F0114-0120,Verint Edge NVR w/o PoE ports,2025-02-07 00:00:00,2025-01-21 00:00:00,179,105,18,0,32.95,,,,0,3459.7500000000005,93-F0114-01
2025-01-24 00:00:00,,E,93N125010135,93-P8000-H510,GM-270SG/IS,2025-03-13 00:00:00,2025-03-05 00:00:00,200,30,27,13.5,34,,,,405,1020,93-P8000-H5
2025-01-24 00:00:00,,E,93N124110331,93-P7000-B310,IM-215H,2025-02-05 00:00:00,2025-01-23 00:00:00,1,1,24,50,22.5,TP-ASSY,,,50,22.5,93-P7000-B3
2025-01-24 00:00:00,,D,93E125010338,IPC-3100U-0001,RK500WL-M46_I0001,2025-02-11 00:00:00,2025-01-20 00:00:00,2,2,21,4,54,,,,8,108,IPC-3100U-0
2025-01-24 00:00:00,,A,93N125010460,AG-M9046-60110,M9046-60110,2025-02-07 00:00:00,2025-01-20 00:00:00,10,10,36,76,,,,,760,0,AG-M9046-60
2025-01-24 00:00:00,,D,93R125010088,IPC-100N5-U025,RK410W-13E4-E43_IU025,2025-02-07 00:00:00,2025-01-20 00:00:00,1,1,21,,54,,,,0,54,IPC-100N5-U
