Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,,,A,,55E125020192,cExpress-RLP-i3-1320PRE-16G/64G,55-72222-200E,A1,2/6,2/4,6,,58,55,113,11.3,80,91.3,2025-02-05 00:00:00,,,,"Cindy,純SMT",2,2025-01-23 00:00:00,,,DEV-0053187
,,,,,,,A,,59N125020397,UNP Express-BASE,59-46604-00J0,1D2,2/7,2/4,2,,0,51.77,51.77,1.7256666666666667,60,85,2025-02-05 00:00:00,,,,"掃貨驗證:74-01284-0ZC0,位置:U10",1,2025-01-22 00:00:00,,,
,,,,,,,A,,59N125020404,UNP Express-BASE,59-46604-00J0,1D2,2/7,2/4,3,,0,51.77,51.77,2.5885000000000002,60,85,2025-02-05 00:00:00,,,,"掃貨驗證:71-83627-0750,位置:U11",1,2025-01-22 00:00:00,,,
,,,,,1/23,,A,,59N125030010,cPCI-3620/E3815/M2G,59-31122-5120,A4,2/7,2/4,102,,42.3,32.91,75.21,127.85699999999999,40,167.85699999999997,2025-02-05 00:00:00,,,,,2,2024-12-26 00:00:00,,,
,,,,,1/23,,A,,55N125030090,M9043-66502,55-63639-1020,A4,2/6,2/4,5,,48,37,85,7.083333333333333,60,85,2025-02-05 00:00:00,,,,,2,2024-12-26 00:00:00,,重要工單,
,,,,,1/23,,A,,59N125020168,NEON-ONO Carrier Board MIPI,59-14211-1010,A1,2/12,1/23,40,,30,25,55,36.666666666666664,60,96.66666666666666,2025-02-05 00:00:00,,,,,4,2024-12-26 00:00:00,,重要工單,
,,,,,2/3,,A,,59N125030009,DB-3SSD/B/NTPM,59-37581-3010,A3,2/7,2/4,100,,2.07,4.9,6.970000000000001,11.616666666666669,60,85,2025-02-05 00:00:00,,,,2/4到貨:71-00651-07Z0、61-7564C-2300,5,2024-12-26 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1415.8236666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,,,E,,59N125020045,Express-CF-i3-8100H/ARIS,59-72131-2470,A2,2/11,1/22,180,770,45,30,75,225,0,225,2025-02-05 00:00:00,321.42857142857144,,,純SMT(2/6上午接測),2,2024-12-10 00:00:00,,重要工單,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,12/28,,E,,55E125020024,Aristocrat Gen10 Config stick,55-79028-005E,A1,2/12,1/23,760,,8,7,15,190,0,190,2025-02-05 00:00:00,271.42857142857144,,,"Kim,純SMT",8,2024-12-10 00:00:00,,重要工單,
,,,,,,,,2/5,,,,,,,,,,,Total,,,415,592.8571428571429,,,,,,,,,
,,,,,1/24,,B,,55N125020091,M9019-66530,55-63623-0030,A3,2/6,1/22,75,105,40,40,80,100,0,100,2025-02-06 00:00:00,,,,,1,2024-12-26 00:00:00,,重要工單,
,,,,,1/10,,B,,55E124120404,Aristocrat Gen10 Backplane,55-79030-004E,A3,2/10,2/4,600,,0,18,18,180,40,220,2025-02-06 00:00:00,,,,Kim,1,2024-12-23 00:00:00,,,
,,,,,1/7,,B,,59N125010097,EGX-MXM-A4500-16GB-80W/Adlink logo,59-7C004-2020,A2,2/10,1/16,30,,50,30,80,40,60,100,2025-02-06 00:00:00,,,,純SMT,2,2024-12-12 00:00:00,,重要工單,
,,,,,1/24,,B,,55N125020093,PXIe Type-6 CB/Lefty,55-63539-0020,A2,2/7,1/24,167,,46,43,89,247.71666666666667,40,287.7166666666667,2025-02-06 00:00:00,,,,,2,2024-12-19 00:00:00,,重要工單,
,,,,,1/23,,B,,59N125020268,Express-SLE-E3-1515M w/TPM 2.0,59-72128-S1A0,B1,2/10,1/23,30,,65.9,32.5,98.4,49.2,60,109.2,2025-02-06 00:00:00,,,,純SMT,2,2025-01-03 00:00:00,,,
,,,,,1/23,,B,,55N125020410,Express-CF-i5-8400H/BK,55-72131-1280,A2,2/7,2/3,128,,53,38.8,91.8,195.84,40,235.84,2025-02-06 00:00:00,,,,純SMT(水洗機種),2,2024-12-26 00:00:00,,,
,,,,,1/24,,B,,59N125020226,LEC-AL-E3940-8G-ER/IVN5,59-72506-5320,B2,2/11,1/24,244,,45,30,75,305,40,345,2025-02-06 00:00:00,,,,純SMT,2,2025-01-03 00:00:00,,重要工單,
,,,,,,,,,,,,,,,,,,,,,,1397.7566666666667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A,,夜班支援DIP,,,,,,,,,,,,,720,,,,,,,,,,
,,,,,,,,,設備異常,,,,,,,,,,,,,195,,,,,設備異常91min、待料異常104min,,,,,
,,,,,,●,A,,55E125010276,JCI SC-Connect Carrier Board,55-66058-001E,A2,2/11,2/5,6,,40,33,73,7.3,90,140,2025-02-06 00:00:00,,,,Winnie,1,2025-01-21 00:00:00,,,DEV-0053302
,,,,,,,A,,55E124120418,EGX-PCIE-A580E-KGI,55-7C402-001E,A1,2/7,1/23,8,,60,35,95,12.666666666666666,80,92.66666666666667,2025-02-06 00:00:00,,,,Maggie,2,2024-12-26 00:00:00,,,DEV-0053384
,,,,,1/6,,A,,55E124090003,SEMI-MF cPCI-R3544/MIL,55-65479-000E,A1,2/10,1/9,32,,10,10,20,10.666666666666666,60,85,2025-02-06 00:00:00,,,,Michael,4,2024-12-05 00:00:00,,,
,,,,,,,A,,59N125030152,M9049A,59-63304-0040,A3,2/10,2/3,42,,20,20,40,28,60,88,2025-02-06 00:00:00,,,,,2,2024-12-31 00:00:00,,重要工單,
