品號,版次,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
55-14072-102E,A1,55-14072A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14072-200E,A1,55-14072A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14072-201E,A2,55-14072A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14073-0010,A2,55-14073A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14073-0020,A2,55-14073A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14073-0030,A2,55-14073A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14074-000E,A3,55-14074A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14074-0010,A3,55-14074A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-000E,A1,55-14075A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-0010,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-001E,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-002E,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-100E,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-1010,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14075-101E,A2,55-14075A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-000E,A1,55-14077A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-0010,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-001E,A2,55-14077A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-0020,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-002E,A2,55-14077A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-0030,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-003E,A2,55-14077A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-0040,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-0050,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-005E,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-100E,A2,55-14077A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-1010,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-101E,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-1020,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14077-1030,A3,55-14077A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14079-000E,A1,55-14079A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14079-0010,A1,55-14079A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14079-0010,A1,55-14079A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14079-0010,A1,55-14079A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-000E,A1,55-14080A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-001E,A2,55-14080A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-0020,B1,55-14080B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-002E,A2,55-14080A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-003E,A2,55-14080A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-005E,A2,55-14080A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-006E,A3,55-14080A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-007E,A4,55-14080A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55-14080-008E,A4,55-14080A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
