Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,修改,First,線別,VIP,製令單號,品名,品號,版次,預計完工日,料齊日,實際生產,MO數量,反面,正面,SMT C.T(sec.),生產工時(min),換線工時(min),總工時(min),上線日,Unnamed: 24,上線時間,結束時間,備註,連板,Initail,Unnamed: 30,重要工單,特採單號
,,,,,3/26,,A,,59N125040180,PCM-7230+,59-12304-0030,A1,4/11,4/8,20,,0,20,20,6.666666666666667,60,85,2025-04-09 00:00:00,,,,,2,2025-03-02 00:00:00,,,
,,,,,3/17,,A,,59N125040325,Popeye USB3 Type-C,59-63020-0010,A2,4/24,4/21,9,,38,13.3,51.3,7.694999999999999,60,85,2025-04-09 00:00:00,,,,,3,2025-03-14 00:00:00,,,
,,,,,4/7,,A,,59N125040032,LEC-iMX62-C7-1G-4G-ER,59-72501-8040,A6,4/11,3/21,100,,28,20,48,80,40,120,2025-04-10 00:00:00,,,,純SMT,2,2025-03-02 00:00:00,,,DEV-0054060
,,,,,,,,,,,,,,,,,,,,,,1426.24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,4/7,,E,,59N125040002,NVR LED board,59-65A71-0010,A1,4/25,4/7,420,1320,7,8.5,15.5,108.5,40,148.5,2025-04-09 00:00:00,,,,Kim,5,2025-03-20 00:00:00,,,
,,,,,,,E,,前置FAI,,,,,,,,,,,0,,0,,,,,,,,,,
,,,,,4/7,,E,,59N125040214,EGX-MXM-T1000/Align,59-7C003-A020,A2,4/15,4/7,350,500,39.5,35.5,75,437.5,40,477.5,2025-04-09 00:00:00,,,,純SMT(4/14上午接測),2,2025-03-20 00:00:00,,,
,,,,,,,,4/9,,,,,,,,,,,Total,,,626,626,,,,,,,,,
,,,,,,,,,第4班開線,,,,,,,,,,,,,90,,,,,,,,,,
,,,,,4/1,,B,,55N125040289,NVR MB w/o PoE ports,55-65537-0120,A2,4/12,3/28,134,369,70,110,180,402,0,402,2025-04-10 00:00:00,,,,,1,2025-02-25 00:00:00,,,
,,,,,,,B,,55E125070041,Bayer NGCT SCP C/B,55-77525-001E,A1,4/14,4/2,20,,60,60,120,40,80,120,2025-04-10 00:00:00,,,,Claire,1,2025-04-01 00:00:00,,,DEV-0054009
,,,,,,,B,,59N125040065,Siemens ImagSys-Power Board,59-A2057-0020,A3,4/14,3/26,100,,15,18.5,33.5,55.833333333333336,60,115.83333333333334,2025-04-10 00:00:00,,,,,4,2025-03-14 00:00:00,,,
,,,,,,,B,,55N125050059,M9022A,55-63512-0050Z,A3,4/15,4/8,100,,35,37,72,120,40,160,2025-04-10 00:00:00,,,,,1,2025-03-10 00:00:00,,,
,,,,,,,B,,59N125030304,cExpress-SL-i5-6300U,59-72213-1080,A3,4/14,4/8,147,,55.18,31.8,86.98,213.10100000000003,60,273.101,2025-04-10 00:00:00,,,,純SMT,2,2025-03-12 00:00:00,,,DEV-0053442
